CityName,Date,CasesCount
Wenzhou,2020-01-27 00:00:00.000,53
Changsha,2020-01-29 00:00:00.000,35
Hangzhou,2020-01-29 00:00:00.000,41
Nanchang,2020-01-29 00:00:00.000,45
Taizhou,2020-01-29 00:00:00.000,49
Wenzhou,2020-01-29 00:00:00.000,118
Wenzhou,2020-01-30 00:00:00.000,59
Guangzhou,2020-01-31 00:00:00.000,36
Nanchang,2020-01-31 00:00:00.000,32
Shenzhen,2020-01-31 00:00:00.000,78
Changsha,2020-02-01 00:00:00.000,40
Wenzhou,2020-02-01 00:00:00.000,49
Shenzhen,2020-02-02 00:00:00.000,40
Wenzhou,2020-02-02 00:00:00.000,37
Guangzhou,2020-02-03 00:00:00.000,46
Shenzhen,2020-02-03 00:00:00.000,69
Wenzhou,2020-02-03 00:00:00.000,57
Wenzhou,2020-02-04 00:00:00.000,32
Wenzhou,2020-02-05 00:00:00.000,40
Guangzhou,2020-02-06 00:00:00.000,47
Yokohama,2020-02-07 00:00:00.000,47
Yokohama,2020-02-10 00:00:00.000,65
Yokohama,2020-02-12 00:00:00.000,43
Yokohama,2020-02-13 00:00:00.000,46
Yokohama,2020-02-15 00:00:00.000,71
Yokohama,2020-02-16 00:00:00.000,87
Yokohama,2020-02-17 00:00:00.000,85
Yokohama,2020-02-18 00:00:00.000,89
