CountryID,CountryName
1,Finland
2,South Korea
3,Bahrain
4,Vietnam
5,Egypt
6,Italy
7,Brazil
8,Netherlands
9,San Marino
10,Malaysia
11,Sri Lanka
12,Germany
13,Philippines
14,Lithuania
15,Kuwait
16,Switzerland
17,Estonia
18,United States
19,Algeria
20,Ecuador
21,Nigeria
22,North Macedonia
23,Lebanon
24,Iraq
25,Australia
26,United Kingdom
27,Sweden
28,China
29,India
30,Croatia
31,Greece
32,Austria
33,United Arab Emirates
34,Russia
35,Israel
36,Canada
37,Afghanistan
38,Thailand
39,Norway
40,France
41,Belgium
42,Japan
43,Georgia
44,Spain
45,Oman
46,Romania
47,Pakistan
48,Singapore
49,Cambodia
50,Iran
51,Nepal
52,Tajvan
55,Latvia
