CountryName,Date,CasesCount
China,2020-02-12 00:00:00.000,37
Japan,2020-02-22 00:00:00.000,37
Australia,2020-02-09 00:00:00.000,1
South Korea,2020-02-27 00:00:00.000,1
Germany,2020-01-27 00:00:00.000,1
Germany,2020-02-02 00:00:00.000,4
China,2020-01-26 00:00:00.000,437
Thailand,2020-02-04 00:00:00.000,2
South Korea,2020-02-24 00:00:00.000,1
South Korea,2020-02-01 00:00:00.000,1
France,2020-02-01 00:00:00.000,1
Italy,2020-02-17 00:00:00.000,1
Romania,2020-02-25 00:00:00.000,1
Iran,2020-02-03 00:00:00.000,1
Sweden,2020-01-31 00:00:00.000,1
South Korea,2020-02-07 00:00:00.000,2
China,2020-02-15 00:00:00.000,132
Japan,2020-02-02 00:00:00.000,11
Philippines,2020-01-30 00:00:00.000,1
Japan,2020-02-19 00:00:00.000,1
China,2020-01-23 00:00:00.000,91
Australia,2020-02-06 00:00:00.000,1
Iran,2020-01-31 00:00:00.000,1
Ecuador,2020-02-29 00:00:00.000,1
Germany,2020-01-30 00:00:00.000,2
Japan,2020-02-25 00:00:00.000,12
United States,2020-02-28 00:00:00.000,1
Nigeria,2020-02-27 00:00:00.000,1
France,2020-02-24 00:00:00.000,2
Thailand,2020-02-27 00:00:00.000,1
Spain,2020-02-09 00:00:00.000,1
Italy,2020-01-31 00:00:00.000,2
Canada,2020-02-10 00:00:00.000,4
Japan,2020-01-30 00:00:00.000,13
United Arab Emirates,2020-02-16 00:00:00.000,1
South Korea,2020-02-04 00:00:00.000,3
Malaysia,2020-02-13 00:00:00.000,1
Romania,2020-02-28 00:00:00.000,2
China,2020-02-18 00:00:00.000,18
Norway,2020-02-27 00:00:00.000,3
Japan,2020-01-24 00:00:00.000,3
Japan,2020-02-16 00:00:00.000,89
Iran,2020-02-20 00:00:00.000,2
China,2020-01-20 00:00:00.000,9
Bahrain,2020-02-22 00:00:00.000,1
China,2020-02-06 00:00:00.000,604
Finland,2020-01-29 00:00:00.000,1
Pakistan,2020-02-26 00:00:00.000,2
Bahrain,2020-02-25 00:00:00.000,9
South Korea,2020-01-26 00:00:00.000,1
Japan,2020-02-10 00:00:00.000,67
Iraq,2020-01-31 00:00:00.000,1
Japan,2020-01-27 00:00:00.000,11
Italy,2020-02-11 00:00:00.000,1
France,2020-02-07 00:00:00.000,1
Thailand,2020-01-24 00:00:00.000,1
France,2020-02-10 00:00:00.000,1
Japan,2020-01-21 00:00:00.000,1
South Korea,2020-02-15 00:00:00.000,1
China,2020-02-09 00:00:00.000,57
Japan,2020-02-13 00:00:00.000,46
Canada,2020-02-01 00:00:00.000,3
France,2020-02-27 00:00:00.000,1
Cambodia,2020-01-31 00:00:00.000,1
Italy,2020-01-25 00:00:00.000,1
Canada,2020-02-04 00:00:00.000,1
Lebanon,2020-02-26 00:00:00.000,1
Sweden,2020-02-26 00:00:00.000,1
Malaysia,2020-01-30 00:00:00.000,1
Iran,2020-02-14 00:00:00.000,1
Canada,2020-02-24 00:00:00.000,1
China,2020-02-26 00:00:00.000,260
Estonia,2020-02-26 00:00:00.000,1
China,2020-02-10 00:00:00.000,25
Spain,2020-02-24 00:00:00.000,2
Italy,2020-01-23 00:00:00.000,1
South Korea,2020-02-16 00:00:00.000,1
France,2020-02-26 00:00:00.000,4
Australia,2020-02-14 00:00:00.000,1
